// Start Time: 0
// Sample rate: 100.0Hz
// Scenario: 4.9
// Firmware Version: 2.5.1
Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0313,FFFFFE66,0703,FFFFFFE7,FFFFFFFF,0010,FFFFFF28,0082,FFFFFFCE 
0313,FFFFFE66,0704,FFFFFFE7,FFFFFFFF,0011,FFFFFF25,007D,FFFFFFC1 
0314,FFFFFE66,0705,FFFFFFE7,0000,0011,FFFFFF1B,0089,FFFFFFC1 
0313,FFFFFE66,0705,FFFFFFE7,0000,0011,FFFFFF27,0083,FFFFFFC9 
0313,FFFFFE66,0705,FFFFFFE7,0000,0011,FFFFFF23,0081,FFFFFFC7 
0314,FFFFFE66,0704,FFFFFFE7,0000,0011,FFFFFF19,007F,FFFFFFCD 
0313,FFFFFE65,0703,FFFFFFE7,0000,0011,FFFFFF1D,0083,FFFFFFC7 
0312,FFFFFE64,0703,FFFFFFE7,0000,0011,FFFFFF24,0080,FFFFFFC2 
0312,FFFFFE65,0701,FFFFFFE7,FFFFFFFF,0011,FFFFFF26,0080,FFFFFFCE 
0313,FFFFFE65,0702,FFFFFFE7,0000,0011,FFFFFF21,0077,FFFFFFC3 
0312,FFFFFE65,0705,FFFFFFE7,0000,0010,FFFFFF27,0083,FFFFFFBF 
0312,FFFFFE65,0703,FFFFFFE7,0000,0010,FFFFFF21,0081,FFFFFFCD 
0314,FFFFFE64,0701,FFFFFFE8,0000,0011,FFFFFF21,007F,FFFFFFC7 
0313,FFFFFE65,0702,FFFFFFE8,0000,0011,FFFFFF25,007F,FFFFFFC3 
0314,FFFFFE65,0704,FFFFFFE7,0000,0011,FFFFFF20,0082,FFFFFFC6 
0313,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF1D,007B,FFFFFFC3 
0312,FFFFFE64,0704,FFFFFFE7,0000,0011,FFFFFF27,0079,FFFFFFCD 
0313,FFFFFE65,0702,FFFFFFE7,0000,0011,FFFFFF1F,007F,FFFFFFC7 
0313,FFFFFE64,0703,FFFFFFE8,0000,0011,FFFFFF25,0079,FFFFFFC1 
0314,FFFFFE64,0705,FFFFFFE8,0000,0011,FFFFFF1C,0082,FFFFFFBE 
0314,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF1C,0086,FFFFFFCA 
0313,FFFFFE64,0705,FFFFFFE8,0000,0011,FFFFFF22,0080,FFFFFFC8 
0313,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF27,007D,FFFFFFC1 
0313,FFFFFE64,0704,FFFFFFE7,0000,0011,FFFFFF23,007B,FFFFFFCF 
0313,FFFFFE64,0704,FFFFFFE8,0000,0010,FFFFFF20,0080,FFFFFFC6 
0314,FFFFFE65,0706,FFFFFFE8,0000,0011,FFFFFF25,0085,FFFFFFCB 
0314,FFFFFE65,0707,FFFFFFE8,0000,0011,FFFFFF2C,007E,FFFFFFC8 
0314,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF1C,0084,FFFFFFC4 
0314,FFFFFE65,0704,FFFFFFE8,0000,0011,FFFFFF21,0081,FFFFFFC1 
0314,FFFFFE64,0704,FFFFFFE8,0000,0011,FFFFFF22,0082,FFFFFFC6 
0314,FFFFFE64,0704,FFFFFFE8,0000,0011,FFFFFF2C,0082,FFFFFFC8 
0314,FFFFFE64,0706,FFFFFFE8,0000,0011,FFFFFF22,007E,FFFFFFC8 
0314,FFFFFE65,0704,FFFFFFE7,0000,0010,FFFFFF18,0080,FFFFFFCA 
0314,FFFFFE66,0704,FFFFFFE7,0000,0010,FFFFFF24,007E,FFFFFFC8 
0314,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF2A,008A,FFFFFFCC 
0315,FFFFFE65,0705,FFFFFFE7,FFFFFFFF,0011,FFFFFF21,007F,FFFFFFC7 
0314,FFFFFE64,0707,FFFFFFE7,0000,0011,FFFFFF25,007B,FFFFFFC7 
0314,FFFFFE65,0706,FFFFFFE7,0000,0011,FFFFFF1F,007B,FFFFFFC1 
0313,FFFFFE65,0704,FFFFFFE7,0000,0011,FFFFFF21,007F,FFFFFFCB 
0314,FFFFFE64,0705,FFFFFFE7,0000,0011,FFFFFF24,0088,FFFFFFC8 
0313,FFFFFE64,0706,FFFFFFE8,0000,0011,FFFFFF23,0081,FFFFFFCB 
0314,FFFFFE64,0707,FFFFFFE7,0000,0011,FFFFFF20,0082,FFFFFFC8 
0314,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF1B,007F,FFFFFFCD 
0313,FFFFFE65,0706,FFFFFFE7,FFFFFFFF,0011,FFFFFF22,007E,FFFFFFC0 
0314,FFFFFE65,0705,FFFFFFE7,FFFFFFFF,0011,FFFFFF23,007B,FFFFFFCB 
0314,FFFFFE65,0705,FFFFFFE7,FFFFFFFF,0011,FFFFFF22,0080,FFFFFFC6 
0313,FFFFFE65,0705,FFFFFFE7,FFFFFFFF,0011,FFFFFF26,007E,FFFFFFC0 
0313,FFFFFE65,0704,FFFFFFE7,FFFFFFFF,0011,FFFFFF1C,0082,FFFFFFCA 
0313,FFFFFE65,0705,FFFFFFE7,FFFFFFFF,0011,FFFFFF25,0085,FFFFFFC9 
0314,FFFFFE65,0705,FFFFFFE8,FFFFFFFF,0011,FFFFFF1A,007A,FFFFFFC8 
0315,FFFFFE65,0707,FFFFFFE7,0000,0011,FFFFFF25,007D,FFFFFFC3 
0313,FFFFFE64,0707,FFFFFFE7,0000,0011,FFFFFF1E,0084,FFFFFFC4 
0313,FFFFFE64,0708,FFFFFFE7,0000,0011,FFFFFF20,007E,FFFFFFC4 
0313,FFFFFE64,0707,FFFFFFE8,0000,0011,FFFFFF20,007C,FFFFFFCA 
0313,FFFFFE63,0707,FFFFFFE8,0000,0012,FFFFFF23,007D,FFFFFFC1 
0313,FFFFFE64,0706,FFFFFFE8,0000,0011,FFFFFF2B,007B,FFFFFFBF 
0313,FFFFFE63,0705,FFFFFFE8,0000,0011,FFFFFF22,0080,FFFFFFC4 
0312,FFFFFE63,0703,FFFFFFE8,0000,0011,FFFFFF1F,0081,FFFFFFCB 
0312,FFFFFE63,0704,FFFFFFE7,0000,0011,FFFFFF1F,007F,FFFFFFC5 
0313,FFFFFE62,0704,FFFFFFE8,FFFFFFFF,0011,FFFFFF1B,0085,FFFFFFCF 
0312,FFFFFE63,0704,FFFFFFE8,0000,0011,FFFFFF1E,0084,FFFFFFCE 
0313,FFFFFE63,0706,FFFFFFE7,0000,0011,FFFFFF1F,0079,FFFFFFC3 
0312,FFFFFE63,0705,FFFFFFE8,0000,0011,FFFFFF25,007F,FFFFFFC7 
0313,FFFFFE64,0706,FFFFFFE8,0000,0011,FFFFFF25,0085,FFFFFFCB 
0313,FFFFFE64,0706,FFFFFFE8,0000,0011,FFFFFF2A,007E,FFFFFFC6 
0313,FFFFFE64,0708,FFFFFFE7,0000,0011,FFFFFF23,0081,FFFFFFC7 
0314,FFFFFE64,0708,FFFFFFE7,0000,0011,FFFFFF26,007C,FFFFFFCE 
0314,FFFFFE65,0707,FFFFFFE8,0000,0011,FFFFFF22,007E,FFFFFFCC 
0314,FFFFFE66,0706,FFFFFFE8,0000,0011,FFFFFF1B,0081,FFFFFFC9 
0313,FFFFFE65,0705,FFFFFFE8,0000,0011,FFFFFF23,007F,FFFFFFC5 
0313,FFFFFE65,0704,FFFFFFE8,0000,0011,FFFFFF1F,0087,FFFFFFC5 
0312,FFFFFE64,0704,FFFFFFE8,0000,0011,FFFFFF1B,007F,FFFFFFC9 
0312,FFFFFE65,0705,FFFFFFE8,0000,0011,FFFFFF22,0084,FFFFFFC4 
0313,FFFFFE64,0705,FFFFFFE8,0000,0010,FFFFFF1C,0080,FFFFFFC6 
0313,FFFFFE64,0704,FFFFFFE8,0000,0010,FFFFFF1F,0083,FFFFFFC7 
0313,FFFFFE64,0704,FFFFFFE8,0000,0011,FFFFFF27,0083,FFFFFFCD 
0313,FFFFFE63,0704,FFFFFFE8,0000,0010,FFFFFF20,0080,FFFFFFC6 
0313,FFFFFE64,0705,FFFFFFE7,0000,0010,FFFFFF28,007A,FFFFFFC0 
0313,FFFFFE64,0706,FFFFFFE7,0000,0010,FFFFFF1F,0081,FFFFFFC3 
0313,FFFFFE64,0708,FFFFFFE8,0000,0011,FFFFFF26,0080,FFFFFFC8 
0313,FFFFFE63,0708,FFFFFFE7,0000,0011,FFFFFF23,0081,FFFFFFC7 
0313,FFFFFE64,0707,FFFFFFE7,0000,0011,FFFFFF1A,007E,FFFFFFC8 
0312,FFFFFE64,0707,FFFFFFE7,0000,0011,FFFFFF1E,0080,FFFFFFBA 
0310,FFFFFE64,0707,FFFFFFE7,0000,0011,FFFFFF26,007C,FFFFFFC6 
0313,FFFFFE64,0706,FFFFFFE7,0000,0011,FFFFFF1F,0083,FFFFFFC5 
0313,FFFFFE64,0705,FFFFFFE7,0000,0011,FFFFFF1F,0085,FFFFFFC5 
0313,FFFFFE64,0705,FFFFFFE7,0000,0010,FFFFFF23,007F,FFFFFFCF 
0314,FFFFFE64,0705,FFFFFFE7,0000,0011,FFFFFF1B,0087,FFFFFFC1 
0314,FFFFFE64,0706,FFFFFFE7,0000,0011,FFFFFF1F,0081,FFFFFFC7 
0314,FFFFFE65,0707,FFFFFFE7,0000,0011,FFFFFF1D,0085,FFFFFFBF 
0314,FFFFFE63,0706,FFFFFFE7,0000,0011,FFFFFF20,007E,FFFFFFC8 
0314,FFFFFE64,0706,FFFFFFE7,0000,0011,FFFFFF22,0078,FFFFFFC2 
0313,FFFFFE64,0705,FFFFFFE7,0000,0011,FFFFFF22,0084,FFFFFFC0 
0314,FFFFFE64,0706,FFFFFFE7,0000,0011,FFFFFF20,0080,FFFFFFC4 
0313,FFFFFE64,0706,FFFFFFE7,0000,0011,FFFFFF1F,0083,FFFFFFCB 
0313,FFFFFE64,0707,FFFFFFE7,0000,0011,FFFFFF29,0083,FFFFFFC3 
0313,FFFFFE65,0709,FFFFFFE8,0000,0011,FFFFFF26,007A,FFFFFFC8 
0313,FFFFFE65,0709,FFFFFFE8,0000,0011,FFFFFF25,0085,FFFFFFC5 
0314,FFFFFE65,0709,FFFFFFE7,0000,0010,FFFFFF1D,0083,FFFFFFC7 
0314,FFFFFE64,0707,FFFFFFE8,0000,0010,FFFFFF24,007E,FFFFFFC2 
0314,FFFFFE63,0708,FFFFFFE7,0000,0010,FFFFFF1F,0087,FFFFFFC9 
0314,FFFFFE64,0706,FFFFFFE7,0000,0010,FFFFFF25,007F,FFFFFFBD 
0313,FFFFFE64,0705,FFFFFFE8,0000,0011,FFFFFF1A,007E,FFFFFFC6 
0312,FFFFFE64,0705,FFFFFFE8,FFFFFFFF,0011,FFFFFF26,007C,FFFFFFC0 
0313,FFFFFE65,0705,FFFFFFE8,FFFFFFFF,0011,FFFFFF21,0087,FFFFFFC7 
0312,FFFFFE65,0706,FFFFFFE8,0000,0010,FFFFFF27,007B,FFFFFFCB 
0313,FFFFFE65,0706,FFFFFFE8,0000,0010,FFFFFF21,007D,FFFFFFD1 
0313,FFFFFE65,0707,FFFFFFE8,0000,0010,FFFFFF25,0081,FFFFFFC7 
0313,FFFFFE65,0708,FFFFFFE8,0000,0010,FFFFFF1F,0083,FFFFFFCF 
0313,FFFFFE64,0707,FFFFFFE7,0000,0010,FFFFFF1B,0081,FFFFFFC9 
0312,FFFFFE63,0709,FFFFFFE7,0000,0010,FFFFFF15,0081,FFFFFFC3 
0312,FFFFFE63,0708,FFFFFFE7,0000,0010,FFFFFF2B,007B,FFFFFFC5 
0313,FFFFFE63,0705,FFFFFFE7,0000,0011,FFFFFF21,0083,FFFFFFC1 
0314,FFFFFE63,0708,FFFFFFE7,0000,0011,FFFFFF20,0080,FFFFFFBE 
0314,FFFFFE63,0708,FFFFFFE7,0000,0011,FFFFFF24,0082,FFFFFFC4 
0313,FFFFFE63,0708,FFFFFFE7,0000,0011,FFFFFF22,0082,FFFFFFC4 
0313,FFFFFE63,0707,FFFFFFE8,0000,0011,FFFFFF22,007E,FFFFFFC2 
0312,FFFFFE63,0707,FFFFFFE7,0000,0011,FFFFFF22,007E,FFFFFFC4 
0314,FFFFFE63,0707,FFFFFFE7,0000,0011,FFFFFF23,0083,FFFFFFC7 
0314,FFFFFE63,0706,FFFFFFE8,0000,0011,FFFFFF23,007F,FFFFFFC1 
0314,FFFFFE62,0707,FFFFFFE8,0000,0011,FFFFFF1E,0086,FFFFFFBE 
0314,FFFFFE63,0707,FFFFFFE8,0000,0011,FFFFFF21,0081,FFFFFFC9 
0314,FFFFFE64,0708,FFFFFFE8,0000,0011,FFFFFF1B,007D,FFFFFFC5 
0315,FFFFFE63,0709,FFFFFFE7,0000,0011,FFFFFF26,007E,FFFFFFC8 
0315,FFFFFE64,0709,FFFFFFE7,0000,0011,FFFFFF21,007D,FFFFFFC3 
0315,FFFFFE64,0708,FFFFFFE7,0000,0011,FFFFFF1E,0082,FFFFFFCC 
0314,FFFFFE65,0707,FFFFFFE7,0000,0011,FFFFFF24,0086,FFFFFFC0 
0313,FFFFFE64,0706,FFFFFFE7,FFFFFFFF,0011,FFFFFF28,0084,FFFFFFC2 
0314,FFFFFE64,0705,FFFFFFE7,FFFFFFFF,0011,FFFFFF22,0084,FFFFFFC4 
0340,FFFFFE34,06C0,FFFFFFD1,0026,0009,FFFFFF20,0084,FFFFFFC8 
0338,FFFFFE2F,0708,FFFFFF64,00B4,0007,FFFFFF1C,0086,FFFFFFC6 
02D2,FFFFFE2E,0710,FFFFFF90,009E,FFFFFFC3,FFFFFF2A,0078,FFFFFFD2 
02D3,FFFFFE66,0728,FFFFFF97,0029,FFFFFFB5,FFFFFF27,007B,FFFFFFCB 
02F9,FFFFFE9A,0736,FFFFFFBB,FFFFFFB7,FFFFFFC3,FFFFFF20,0088,FFFFFFC6 
031F,FFFFFE88,0701,0003,FFFFFFC3,FFFFFFE5,FFFFFF23,0083,FFFFFFC9 
0315,FFFFFE74,0703,0002,FFFFFFD2,FFFFFFFA,FFFFFF25,0081,FFFFFFC5 
